hour,day_of_week,month,is_peak_hour,is_weekend,road_type,weather,traffic_density,speed,speed_limit,vehicle_type,vehicles_involved,vehicle_age,road_condition,road_width,alcohol_involved,driver_distracted,pedestrians_involved,visibility,temperature,humidity,junction_type,severity
19,Wednesday,8,1,0,Residential,Clear,8,10,40,Motorcycle,2,6,Dry,6,0,1,2,6,25,32,Y-Junction,Medium
11,Tuesday,3,0,0,National Highway,Clear,5,39,80,Bus,4,7,Slippery,8,0,0,2,6,23,81,Roundabout,High
9,Sunday,4,1,1,Urban Road,Cloudy,6,28,40,Bus,1,3,Dry,4,0,0,0,7,20,76,T-Junction,Medium
15,Saturday,10,0,1,Highway,Rainy,5,11,80,Motorcycle,2,3,Dry,13,0,0,2,8,27,65,T-Junction,Medium
7,Tuesday,4,1,0,Residential,Foggy,5,67,40,Car,3,1,Good,5,0,0,1,4,29,69,T-Junction,High
19,Wednesday,6,1,0,Residential,Rainy,7,27,40,Car,3,4,Dry,10,0,0,1,6,15,51,T-Junction,Medium
6,Thursday,9,0,0,Urban Road,Rainy,4,21,40,Truck,1,3,Dry,4,0,0,3,9,28,50,Y-Junction,Medium
23,Sunday,6,0,1,Highway,Clear,4,30,80,Bus,3,3,Under Construction,6,0,0,0,9,32,59,T-Junction,Medium
19,Monday,1,1,0,Residential,Rainy,9,10,40,Motorcycle,3,6,Dry,5,0,0,1,5,22,81,No Junction,Medium
8,Monday,5,1,0,National Highway,Clear,9,10,80,Motorcycle,2,2,Dry,6,0,0,1,5,19,85,Intersection,Medium
0,Tuesday,9,0,0,Urban Road,Clear,4,38,40,Car,2,13,Dry,9,0,0,1,7,21,71,T-Junction,Medium
19,Tuesday,5,1,0,National Highway,Clear,7,30,80,Truck,1,1,Slippery,9,0,0,0,7,24,66,Intersection,Medium
18,Tuesday,6,1,0,Urban Road,Cloudy,9,10,40,Car,1,5,Good,9,0,1,0,9,27,63,Roundabout,Medium
18,Sunday,3,1,1,Highway,Cloudy,4,77,80,Truck,2,9,Wet,5,0,0,2,9,21,57,Intersection,High
19,Wednesday,8,1,0,Urban Road,Cloudy,6,10,40,Motorcycle,2,7,Dry,8,0,0,0,5,25,25,No Junction,Medium
6,Thursday,10,0,0,Urban Road,Heavy Rain,7,18,40,Bus,1,4,Dry,5,0,0,1,2,26,82,No Junction,Medium
11,Monday,11,0,0,Residential,Rainy,4,38,40,Motorcycle,1,7,Wet,12,0,1,0,6,28,78,T-Junction,Medium
7,Saturday,4,1,1,Urban Road,Cloudy,3,16,40,Car,4,10,Slippery,5,0,1,0,6,19,70,Intersection,High
20,Friday,4,1,0,Urban Road,Clear,8,32,40,Motorcycle,1,6,Slippery,6,0,0,2,9,22,77,No Junction,Medium
17,Sunday,11,1,1,Highway,Clear,6,10,80,Auto,2,6,Wet,8,0,1,0,7,23,100,T-Junction,High
10,Sunday,12,1,1,Urban Road,Rainy,7,31,40,Bus,1,14,Good,4,1,0,0,5,37,54,Y-Junction,Medium
5,Wednesday,5,0,0,Urban Road,Clear,6,28,40,Car,2,15,Dry,9,0,1,1,6,33,71,No Junction,Medium
10,Monday,10,1,0,National Highway,Cloudy,8,53,80,Car,2,6,Dry,11,0,1,0,7,26,40,Intersection,High
10,Thursday,9,1,0,Urban Road,Clear,5,11,40,Bicycle,4,9,Under Construction,5,0,0,1,9,18,99,Intersection,Medium
18,Wednesday,8,1,0,State Highway,Foggy,8,43,60,Truck,2,7,Dry,5,0,0,0,1,32,66,Intersection,High
17,Saturday,7,1,1,Urban Road,Cloudy,10,14,40,Bus,1,7,Dry,11,0,0,0,5,34,24,Y-Junction,Medium
20,Monday,5,1,0,Highway,Rainy,5,36,80,Auto,5,7,Wet,8,1,1,1,7,26,57,T-Junction,High
13,Wednesday,9,0,0,Urban Road,Clear,3,12,40,Motorcycle,1,8,Dry,7,1,0,0,7,24,90,Intersection,Medium
7,Monday,9,1,0,Urban Road,Clear,8,14,40,Auto,1,1,Dry,5,0,0,0,7,23,79,Roundabout,Medium
18,Monday,10,1,0,National Highway,Clear,7,15,80,Car,3,4,Good,6,0,1,1,9,31,98,T-Junction,High
18,Sunday,10,1,1,Residential,Clear,4,45,40,Car,3,3,Dry,7,0,1,2,9,31,62,No Junction,High
16,Thursday,2,0,0,National Highway,Foggy,3,33,80,Car,3,4,Wet,9,0,0,0,1,20,81,T-Junction,High
19,Sunday,4,1,1,State Highway,Clear,10,43,60,Car,2,7,Dry,7,0,0,0,9,22,72,No Junction,Medium
14,Friday,8,0,0,Residential,Clear,2,40,40,Car,2,8,Under Construction,5,0,0,3,5,20,71,Intersection,High
15,Thursday,1,0,0,Residential,Clear,2,10,40,Truck,2,3,Dry,6,0,0,1,8,37,45,Y-Junction,Low
12,Monday,5,0,0,Residential,Cloudy,6,25,40,Motorcycle,1,3,Slippery,4,1,0,0,9,28,20,Intersection,Medium
2,Wednesday,8,0,0,Residential,Rainy,3,44,40,Motorcycle,1,3,Dry,7,0,1,0,5,33,63,No Junction,Medium
6,Saturday,2,0,1,Urban Road,Cloudy,4,49,40,Motorcycle,1,0,Wet,14,0,0,0,8,27,23,No Junction,Medium
3,Thursday,2,0,0,Urban Road,Clear,2,41,40,Car,2,2,Slippery,15,0,0,0,8,29,76,Intersection,Medium
17,Friday,8,1,0,Residential,Clear,6,66,40,Auto,4,5,Dry,8,1,0,0,7,25,56,T-Junction,High
10,Monday,10,1,0,Highway,Rainy,6,30,80,Car,4,5,Dry,3,0,0,3,7,35,48,Intersection,High
14,Saturday,12,0,1,Urban Road,Rainy,2,36,40,Car,4,3,Slippery,10,0,0,0,5,29,47,Intersection,Medium
21,Thursday,9,0,0,State Highway,Clear,5,20,60,Car,1,11,Dry,10,0,0,0,7,26,66,Roundabout,Low
8,Sunday,7,1,1,Urban Road,Cloudy,4,56,40,Motorcycle,2,10,Good,16,0,0,0,8,16,84,No Junction,Medium
12,Sunday,8,0,1,Residential,Foggy,5,31,40,Car,2,6,Dry,8,1,0,0,3,30,59,No Junction,High
18,Thursday,5,1,0,Urban Road,Clear,5,35,40,Bus,2,14,Slippery,6,0,0,1,5,30,49,No Junction,Medium
8,Thursday,1,1,0,State Highway,Clear,7,41,60,Car,2,0,Under Construction,5,0,0,2,5,34,50,T-Junction,High
6,Thursday,4,0,0,Urban Road,Foggy,6,22,40,Bicycle,1,1,Dry,10,0,0,1,3,25,97,Y-Junction,Medium
9,Saturday,2,1,1,National Highway,Cloudy,7,12,80,Truck,4,0,Dry,7,0,0,0,7,22,64,No Junction,Medium
7,Sunday,3,1,1,National Highway,Clear,8,44,80,Auto,1,8,Dry,7,0,1,1,7,38,20,No Junction,Medium
21,Wednesday,12,0,0,National Highway,Clear,1,26,80,Motorcycle,3,6,Good,6,0,0,0,9,18,57,Roundabout,Medium
19,Friday,3,1,0,Highway,Rainy,4,42,80,Motorcycle,1,9,Slippery,14,0,0,0,9,22,36,T-Junction,Medium
17,Friday,9,1,0,Urban Road,Rainy,3,55,40,Bicycle,2,1,Wet,6,0,0,0,9,36,52,Intersection,Medium
20,Monday,10,1,0,National Highway,Rainy,7,10,80,Car,1,8,Dry,10,0,0,3,5,33,41,No Junction,Medium
19,Tuesday,4,1,0,State Highway,Foggy,5,52,60,Motorcycle,1,6,Dry,9,0,0,0,4,25,100,Y-Junction,High
8,Wednesday,2,1,0,National Highway,Clear,6,22,80,Car,2,5,Slippery,3,0,0,1,9,26,71,Y-Junction,Medium
21,Sunday,3,0,1,Residential,Rainy,5,24,40,Bicycle,4,5,Good,14,0,1,2,5,26,86,Intersection,High
15,Monday,3,0,0,Urban Road,Rainy,6,18,40,Motorcycle,3,4,Dry,3,0,0,0,8,32,100,No Junction,Medium
19,Monday,7,1,0,Highway,Cloudy,2,54,80,Car,1,0,Slippery,5,0,0,1,9,32,70,T-Junction,High
21,Thursday,8,0,0,State Highway,Cloudy,5,29,60,Car,2,5,Dry,6,0,0,0,5,31,100,Intersection,Medium
10,Tuesday,11,1,0,Residential,Foggy,5,28,40,Auto,1,8,Slippery,5,0,0,3,3,32,34,Intersection,High
7,Sunday,6,1,1,Highway,Cloudy,6,28,80,Car,1,16,Dry,7,0,0,0,9,31,93,Intersection,Medium
8,Tuesday,4,1,0,Urban Road,Foggy,7,10,40,Car,1,11,Slippery,5,0,0,0,2,13,68,T-Junction,High
12,Wednesday,6,0,0,Residential,Foggy,4,35,40,Motorcycle,1,4,Good,12,0,0,0,1,29,82,T-Junction,High
19,Tuesday,11,1,0,Residential,Clear,10,28,40,Bicycle,2,9,Wet,9,1,1,3,9,25,62,Y-Junction,High
20,Monday,1,1,0,Highway,Rainy,7,10,80,Car,1,11,Good,6,0,1,0,9,40,78,No Junction,Medium
0,Tuesday,10,0,0,Urban Road,Cloudy,3,32,40,Bus,2,11,Dry,5,0,0,0,6,19,73,No Junction,Medium
14,Tuesday,8,0,0,Highway,Foggy,4,36,80,Car,1,5,Good,6,0,0,1,2,20,63,No Junction,Medium
12,Friday,1,0,0,Urban Road,Rainy,1,48,40,Car,3,4,Under Construction,5,0,1,3,5,28,67,Intersection,High
8,Sunday,5,1,1,National Highway,Clear,2,37,80,Bus,1,7,Dry,4,0,0,0,5,20,100,No Junction,Medium
7,Sunday,2,1,1,Residential,Rainy,5,36,40,Motorcycle,2,3,Wet,10,1,1,0,7,43,50,T-Junction,High
10,Monday,6,1,0,Residential,Clear,7,42,40,Motorcycle,2,5,Good,6,0,0,1,6,31,95,T-Junction,High
22,Saturday,9,0,1,State Highway,Clear,6,44,60,Truck,2,5,Dry,9,0,0,0,5,24,50,No Junction,Medium
10,Tuesday,5,1,0,Urban Road,Clear,4,24,40,Truck,1,3,Wet,8,0,0,0,6,30,78,Intersection,Medium
14,Tuesday,4,0,0,State Highway,Clear,6,34,60,Truck,2,10,Slippery,12,0,1,0,7,29,63,No Junction,Medium
18,Thursday,2,1,0,National Highway,Heavy Rain,10,31,80,Car,4,3,Dry,10,0,0,0,5,24,77,T-Junction,High
11,Sunday,12,0,1,Residential,Foggy,6,39,40,Motorcycle,2,9,Slippery,9,1,0,0,4,20,71,Roundabout,High
23,Tuesday,3,0,0,Urban Road,Clear,6,46,40,Auto,2,3,Dry,14,0,0,1,6,21,75,T-Junction,Medium
22,Sunday,6,0,1,Residential,Foggy,1,53,40,Auto,2,7,Dry,5,0,0,0,2,25,77,No Junction,High
8,Tuesday,8,1,0,National Highway,Clear,5,18,80,Motorcycle,2,0,Wet,7,0,0,0,6,33,68,Y-Junction,Medium
14,Friday,8,0,0,Highway,Rainy,6,10,80,Car,1,5,Wet,9,0,0,2,7,31,89,Y-Junction,Low
9,Monday,5,1,0,Urban Road,Foggy,8,10,40,Car,2,6,Under Construction,10,0,0,0,3,41,75,T-Junction,High
9,Sunday,5,1,1,National Highway,Foggy,7,24,80,Auto,2,11,Slippery,5,0,0,0,1,22,100,T-Junction,High
3,Wednesday,10,0,0,National Highway,Clear,6,27,80,Car,2,2,Wet,7,0,0,0,7,20,60,T-Junction,Medium
16,Monday,3,0,0,Urban Road,Cloudy,4,31,40,Car,2,4,Slippery,8,0,0,1,8,27,50,Intersection,Medium
14,Thursday,7,0,0,Urban Road,Cloudy,4,29,40,Bus,2,7,Slippery,14,0,1,0,5,30,74,Roundabout,Medium
5,Monday,6,0,0,Urban Road,Clear,10,25,40,Bus,2,10,Good,9,0,0,1,5,30,36,No Junction,Medium
9,Tuesday,1,1,0,Urban Road,Clear,7,29,40,Motorcycle,3,6,Slippery,11,0,0,0,5,30,86,Intersection,High
21,Thursday,4,0,0,National Highway,Cloudy,7,16,80,Truck,3,4,Wet,6,1,0,0,7,29,57,T-Junction,High
8,Monday,6,1,0,Highway,Heavy Rain,6,22,80,Car,2,4,Dry,5,1,0,1,4,24,83,T-Junction,High
7,Thursday,11,1,0,Urban Road,Rainy,7,34,40,Auto,2,0,Under Construction,6,0,1,0,5,25,72,T-Junction,Medium
14,Wednesday,6,0,0,National Highway,Clear,4,67,80,Bicycle,2,2,Slippery,9,0,0,0,7,37,64,No Junction,High
23,Monday,11,0,0,Urban Road,Cloudy,5,54,40,Auto,1,11,Dry,12,0,0,0,6,20,71,Y-Junction,Medium
8,Sunday,12,1,1,State Highway,Clear,3,43,60,Motorcycle,2,2,Slippery,3,0,0,0,6,29,36,Intersection,Medium
17,Sunday,12,1,1,Urban Road,Clear,7,10,40,Car,2,8,Wet,13,0,0,1,6,34,56,No Junction,High
18,Saturday,3,1,1,State Highway,Clear,10,16,60,Motorcycle,2,0,Dry,10,0,0,3,9,21,81,T-Junction,Medium
8,Tuesday,6,1,0,National Highway,Rainy,7,37,80,Motorcycle,1,0,Wet,11,0,0,0,5,21,38,Roundabout,High
18,Thursday,12,1,0,Urban Road,Clear,3,15,40,Motorcycle,1,8,Dry,10,0,0,3,8,29,76,No Junction,Low
11,Saturday,10,0,1,State Highway,Clear,2,23,60,Car,1,5,Slippery,6,0,0,1,5,30,82,T-Junction,Medium
17,Saturday,6,1,1,National Highway,Rainy,9,17,80,Auto,3,4,Dry,7,1,0,0,6,26,52,Roundabout,High
17,Friday,12,1,0,National Highway,Clear,4,10,80,Auto,2,0,Dry,10,0,0,2,5,30,91,No Junction,Medium
15,Thursday,9,0,0,Urban Road,Rainy,5,26,40,Car,3,9,Dry,7,1,1,0,9,18,81,T-Junction,High
6,Saturday,9,0,1,Urban Road,Clear,6,20,40,Bicycle,3,5,Wet,8,0,0,3,6,24,92,No Junction,High
19,Friday,2,1,0,Urban Road,Clear,8,24,40,Car,1,7,Dry,6,0,1,1,9,34,72,T-Junction,Medium
10,Saturday,4,1,1,Urban Road,Cloudy,2,27,40,Bus,4,4,Under Construction,10,1,0,0,9,16,56,Roundabout,Medium
8,Tuesday,9,1,0,Urban Road,Rainy,5,26,40,Motorcycle,1,8,Dry,7,0,0,1,9,40,88,No Junction,Medium
4,Wednesday,4,0,0,Urban Road,Cloudy,7,17,40,Motorcycle,2,8,Under Construction,6,1,0,3,6,27,65,Roundabout,High
16,Friday,8,0,0,Residential,Rainy,3,46,40,Bicycle,5,10,Wet,5,0,0,0,9,37,83,T-Junction,Medium
17,Wednesday,10,1,0,Urban Road,Cloudy,7,17,40,Motorcycle,1,3,Good,6,0,0,0,9,34,55,Intersection,Medium
1,Thursday,12,0,0,State Highway,Cloudy,3,19,60,Bus,1,5,Dry,4,1,0,2,8,29,54,T-Junction,Medium
14,Tuesday,3,0,0,State Highway,Heavy Rain,6,37,60,Car,1,3,Dry,9,0,0,0,4,29,50,Roundabout,Medium
8,Friday,3,1,0,Urban Road,Rainy,7,25,40,Car,3,6,Wet,6,0,0,0,8,39,93,Roundabout,Medium
17,Thursday,9,1,0,Urban Road,Rainy,7,35,40,Car,3,5,Slippery,7,0,1,1,5,21,78,Intersection,High
7,Saturday,11,1,1,State Highway,Clear,4,41,60,Bicycle,4,8,Dry,11,0,1,0,6,27,35,Intersection,High
18,Sunday,10,1,1,Highway,Cloudy,4,46,80,Motorcycle,2,2,Dry,7,1,0,3,8,24,58,No Junction,High
11,Monday,8,0,0,Highway,Clear,1,40,80,Bus,4,3,Wet,7,0,0,0,7,22,69,Y-Junction,Medium
22,Thursday,1,0,0,State Highway,Cloudy,3,50,60,Truck,1,6,Dry,7,0,0,0,6,34,95,Intersection,Low
7,Wednesday,10,1,0,Highway,Clear,6,10,80,Car,2,4,Dry,8,0,0,1,6,30,59,Roundabout,Medium
10,Tuesday,2,1,0,State Highway,Rainy,7,10,60,Car,2,5,Wet,6,0,0,2,5,30,86,Intersection,High
7,Tuesday,3,1,0,National Highway,Clear,3,12,80,Motorcycle,1,6,Slippery,10,1,0,1,5,30,98,T-Junction,Medium
21,Thursday,11,0,0,Urban Road,Clear,8,10,40,Auto,3,5,Good,8,0,0,3,9,32,40,No Junction,Low
20,Saturday,2,1,1,State Highway,Clear,4,35,60,Car,3,13,Dry,6,0,1,1,7,26,66,Intersection,Medium
8,Monday,3,1,0,Urban Road,Clear,6,26,40,Motorcycle,3,0,Slippery,6,0,0,0,6,34,52,Y-Junction,Medium
17,Wednesday,8,1,0,State Highway,Rainy,8,10,60,Bus,2,1,Dry,11,0,0,2,6,27,94,No Junction,Medium
19,Thursday,11,1,0,State Highway,Cloudy,6,49,60,Car,2,7,Dry,6,0,0,0,8,28,76,Roundabout,Medium
15,Thursday,11,0,0,Highway,Clear,6,34,80,Motorcycle,2,7,Wet,9,0,0,1,5,25,56,Intersection,Medium
15,Sunday,12,0,1,Residential,Rainy,2,17,40,Motorcycle,1,1,Slippery,9,0,0,0,8,26,45,Y-Junction,Low
8,Tuesday,6,1,0,Residential,Clear,5,49,40,Car,1,3,Good,4,0,0,3,5,29,52,No Junction,Medium
6,Wednesday,7,0,0,Highway,Cloudy,4,23,80,Truck,5,6,Slippery,3,1,1,1,5,27,46,No Junction,High
21,Monday,10,0,0,National Highway,Rainy,3,47,80,Truck,2,9,Dry,7,1,1,2,8,23,53,No Junction,High
21,Tuesday,10,0,0,Urban Road,Clear,5,41,40,Motorcycle,3,6,Dry,10,0,0,2,8,26,52,Roundabout,Medium
17,Thursday,6,1,0,Urban Road,Rainy,9,10,40,Car,2,4,Slippery,3,0,0,0,8,26,75,Y-Junction,Medium
10,Tuesday,1,1,0,Highway,Rainy,2,60,80,Car,1,2,Wet,5,0,0,1,5,26,49,Roundabout,High
10,Tuesday,11,1,0,Residential,Foggy,9,63,40,Bus,2,0,Dry,10,0,0,3,2,16,75,Y-Junction,High
18,Friday,3,1,0,State Highway,Heavy Rain,7,10,60,Motorcycle,2,0,Wet,4,0,0,0,4,32,51,Intersection,High
21,Tuesday,1,0,0,Residential,Clear,7,36,40,Motorcycle,1,2,Good,11,0,1,0,5,26,41,Roundabout,Medium
20,Saturday,12,1,1,State Highway,Clear,6,28,60,Auto,1,0,Slippery,15,0,0,2,8,29,60,No Junction,Medium
19,Tuesday,10,1,0,Residential,Rainy,8,20,40,Motorcycle,1,5,Wet,5,0,0,0,7,30,52,T-Junction,Medium
17,Saturday,12,1,1,Urban Road,Cloudy,3,70,40,Car,4,10,Good,12,0,0,0,7,21,41,No Junction,Medium
6,Wednesday,9,0,0,Urban Road,Rainy,7,33,40,Motorcycle,1,9,Slippery,8,1,0,0,9,31,52,T-Junction,Medium
7,Tuesday,9,1,0,Highway,Clear,4,38,80,Motorcycle,3,2,Dry,5,0,0,0,9,21,96,No Junction,Medium
21,Monday,5,0,0,Highway,Clear,4,59,80,Truck,2,1,Dry,12,0,0,2,7,29,56,No Junction,Medium
16,Saturday,4,0,1,Highway,Rainy,7,65,80,Motorcycle,1,11,Wet,9,0,0,0,8,17,70,T-Junction,Medium
0,Saturday,12,0,1,National Highway,Clear,5,21,80,Bus,2,5,Dry,11,1,1,3,9,14,51,T-Junction,High
6,Thursday,9,0,0,National Highway,Cloudy,3,37,80,Motorcycle,5,5,Under Construction,15,0,0,0,5,33,80,No Junction,Medium
17,Wednesday,9,1,0,Highway,Clear,6,29,80,Motorcycle,2,4,Under Construction,7,0,0,0,7,31,38,Intersection,Medium
0,Tuesday,3,0,0,Urban Road,Clear,6,16,40,Bus,1,5,Dry,9,0,0,1,8,26,87,Roundabout,Low
7,Sunday,5,1,1,Highway,Cloudy,8,37,80,Car,4,2,Slippery,4,0,1,1,5,27,83,Intersection,High
15,Monday,3,0,0,State Highway,Rainy,2,46,60,Auto,1,5,Wet,6,0,1,0,7,18,62,Intersection,Medium
18,Thursday,10,1,0,Urban Road,Clear,8,10,40,Car,3,3,Dry,7,0,1,0,7,27,97,Intersection,Medium
17,Wednesday,2,1,0,Residential,Clear,6,19,40,Car,1,2,Slippery,8,0,0,0,8,28,81,Y-Junction,Low
